Timestamp,Please input your age in years,Please input your gender,How proficient are you in the English language?,What is your learning style?,"Prior to this study, how much experience did you have playing Tetris?",How much experience do you have in high workload environments?,Please select the appropriate response after the completion of your task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,"Please select all the words from this list that you heard during the previous task: (10 real, 10 fake)",Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Please select your trial number,Please input your score,Please select all the words from this list that you heard during the previous task:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:,Rate your workload using the following flowchart:
4/16/2022 18:57:18,39,Female,Native speaker,Kinesthetic,2,5,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,2,"Powerful, Acceptable, Cooperative, Wild",Trial 2,8,"Wrathful, Remarkable, Squeal, Stage, Reward, Educated, Abusive",Trial 3,9,"Disturbed, Guitar, Boast, Interest, Snore, Activity, Curious, Holiday, Gainful",Trial 1,11,"Scatter, Learn, Vengeful, Noise, Instinctive, Amusing",Trial 4,13,"Curtain, Selection, Yawn, Knowledgeable, Obscene, Opposite, Correct, Furtive",4,5,5,4,5
4/17/2022 20:51:11,29,Female,Native speaker,Visual,3,4,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,0,"Protective, Powerful, Cooperative, Acceptable, Library",Trial 1,16,"Keen, Remarkable, Meek, Reward, Educated, Abusive, Cacuts, Street",Trial 2,6,"Flag, Disturbed, Guitar, Boast, Interest, Snore, Occur, Activity, Curious",Trial 3,14,"Learn, Whole, Vengeful, Badge, Stir, Noise, Insidious, Base",Trial 4,17,"Curtain, Selection, Yawn, Obscene, Harbor, Unnatural",4,4,6,5,6
4/18/2022 14:45:56,21,Male,Full proficiency,Visual,3,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,0,"Acceptable, Cooperative, Powerful, Library",Trial 1,1,"Phone, Keen, Remarkable, Stage, Meek, Reward, Educated, Abusive, Cacuts, Street",Trial 2,1,"Bikes, Measly, Snore, Activity, Curious, Holiday",Trial 3,2,"Clear, Scatter, Disgusting, Badge, Trap, Insidious, Base, Ghost",Trial 4,2,"Curtain, Selection, Yawn, Obscene, Wet, Knit, Amount",4,4,6,7,7
4/18/2022 15:15:39,22,Male,Native speaker,Kinesthetic,3,5,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,0,"Acceptable, Cooperative, Changeable, Powerful, Library",Trial 1,6,"Keen, Remarkable, Meek, Bells, Expect, Abusive, Cacuts",Trial 2,9,"Flag, Disturbed, Bikes, Edge, Measly, Snore, Occur, Curious",Trial 3,11,"Scatter, Learn, Stir, Insidious, Base",Trial 4,18,"Curtain, Selection, Yawn, Guess, Obscene, Correct, Punch",3,5,7,7,8
4/18/2022 20:11:06,18,Male,Native speaker,Visual,4,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,4,"Powerful, Library, Changeable, Acceptable",Trial 1,19,"Phone, Remarkable, Squeal, Stage, Meek, Bells, Reward, Abusive, Cacuts, Street",Trial 4,20,"Flag, Disturbed, Bikes, Snore, Activity, Afterthought, Holiday",Trial 2,18,"Clear, Scatter, Noise, Ludicrous, Amusing",Trial 3,17,"Curtain, Yawn, Brake, Obscene, Opposite, Furtive, Embarrass",2,4,6,6,9
4/18/2022 20:25:29,24,Male,Native speaker,Visual,2,3,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,0,Library,Trial 1,2,"Stage, Reward, Abusive, Cacuts",Trial 2,6,"Flag, Guitar, Snore",Trial 3,2,"Clear, Stir, Insidious",Trial 4,2,"Curtain, Yawn, Obscene, Punch",6,5,4,9,4
4/18/2022 20:52:40,45,Female,Full proficiency,Visual,3,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Cooperative, Library, Acceptable",Trial 3,9,"Phone, Remarkable, Stage, Meek, Street",Trial 4,12,"Disturbed, Fog, Occur, Activity, Afterthought, Curious",Trial 1,10,"Scatter, Disgusting, Badge, Noise, Insidious, Amusing",Trial 2,9,"Curtain, Yawn, Obscene, Furtive, Punch, Colossal",3,2,4,3,6
4/18/2022 20:55:55,21,Male,Native speaker,Kinesthetic,2,3,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Cooperative, Library, Acceptable, Powerful",Trial 3,7,"Phone, Keen, Wrathful, Remarkable, Squeal, Meek, Bells, Reward, Abusive",Trial 4,3,"Flag, Disturbed, Bikes, Chalk, Snore, Activity, Warn, Curious",Trial 1,9,"Clear, Scatter, Whole, Disgusting, Badge, Stir, Noise, Insidious, Amusing",Trial 2,6,"Curtain, Yawn, Obscene, Harbor, Opposite, Furtive, Punch, Knit, Colossal",5,5,6,5,6
4/18/2022 21:22:39,47,Male,Native speaker,Visual,4,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Cooperative, Grandiose, Acceptable, Powerful",Trial 1,2,"Phone, Wrathful, Remarkable, Meek, Bells, Abusive, Cacuts, Street",Trial 4,4,"Disturbed, Chalk, Snore, Occur",Trial 2,7,"Scatter, Whole, Disgusting, Stir, Noise, Insidious",Trial 3,6,"Curtain, Yawn, Obscene, Opposite, Punch",3,4,5,4,4
4/18/2022 21:22:59,22,Male,Native speaker,Visual,2,5,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Powerful, Acceptable, Library",Trial 1,3,"Remarkable, Meek, Reward, Abusive, Cacuts",Trial 2,6,"Disturbed, Bikes, Guitar, Edge, Snore, Activity, Holiday",Trial 3,0,"Scatter, Noise, Trap, Insidious",Trial 4,3,"Curtain, Mother, Wet",2,4,5,7,6
4/18/2022 21:54:20,21,Female,Native speaker,Auditory,1,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,2,"Library, Cooperative, Powerful, Acceptable",Trial 2,4,"Remarkable, Stage, Bells, Reward, Abusive, Cacuts",Trial 3,5,"Flag, Disturbed, Guitar, Occur, Afterthought, Holiday",Trial 1,4,"Scatter, Badge, Noise",Trial 4,5,"Selection, Obscene, Opposite, Punch, Amount",7,5,6,7,8
4/18/2022 23:43:01,36,Female,Native speaker,Visual,3,2,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Cooperative, Acceptable, Library, Powerful",Trial 1,6,"Wrathful, Remarkable, Stage, Meek, Bells, Reward, Abusive",Trial 3,8,"Disturbed, Bikes, Guitar, Activity, Warn",Trial 2,9,"Stir, Noise, Amusing",Trial 4,10,"Curtain, Selection, Yawn, Obscene, Opposite, Correct, Furtive, Knit",3,4,4,4,6
4/20/2022 12:11:04,22,Female,Native speaker,Visual,2,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,1,"Acceptable, Cooperative, Library",Trial 2,10,"Glue, Phone, Wrathful, Nonstop, Wilderness, Bells, Reward, Educated, Abusive, Cacuts",Trial 4,11,"Disturbed, Bikes, Edge, Boast, Interest, Snore, Occur, Activity, Holiday",Trial 1,8,"Scatter, Witty, Disgusting, Stir, Noise, Insidious, Amusing",Trial 3,12,"Curtain, Selection, Wise, Yawn, Obscene, Opposite, Unnatural, Furtive, Embarrass",5,7,7,6,7
4/26/2022 8:07:16,23,Male,Native speaker,Visual,3,1,Submit Form (ONLY SELECT IF ALL TRIALS HAVE BEEN COMPLETED,Training,3,"Acceptable, Fresh",Trial 2,9,"Phone, Wrathful, Remarkable, Reward, Abusive, Cacuts",Trial 3,18,"Flag, Disturbed, Guitar, Arch, Afterthought, Curious, Gainful",Trial 1,14,"Clear, Disgusting, Noise, Insidious, Base",Trial 4,18,"Wise, Obscene, Correct, Furtive, Punch",3,5,6,5,6
