Timestamp,Age,Gender,Proficiency,LearnStyle,TetrisXP,WorkloadXP,TrialNumT,ScoreT,WordsT,TrialNumA,ScoreA,WordsA,TrialNumB,ScoreB,WordsB,TrialNumC,ScoreC,WordsC,TrialNumD,ScoreD,WordsD,WorkloadT,WorkloadA,WorkloadB,WorkloadC,WorkloadD,precisionT,precisionA,precisionB,precisionC,precisionD,recallT,recallA,recallB,recallC,recallD
04/17/2022 20:51:11,29,Female,Native speaker,Visual,3,4,0,0,"Protective, Powerful, Cooperative, Acceptable, Library",1,16,"Keen, Remarkable, Meek, Reward, Educated, Abusive, Cacuts, Street",2,6,"Flag, Disturbed, Guitar, Boast, Interest, Snore, Occur, Activity, Curious",3,14,"Learn, Whole, Vengeful, Badge, Stir, Noise, Insidious, Base",4,17,"Curtain, Selection, Yawn, Obscene, Harbor, Unnatural",4,4,6,5,6,0.8,0.714285714285714,0.666666666666667,0.75,0.666666666666667,0.4,0.5,0.6,0.6,0.4
04/18/2022 14:45:56,21,Male,Full proficiency,Visual,3,2,0,0,"Acceptable, Cooperative, Powerful, Library",1,1,"Phone, Keen, Remarkable, Stage, Meek, Reward, Educated, Abusive, Cacuts, Street",2,1,"Bikes, Measly, Snore, Activity, Curious, Holiday",3,2,"Clear, Scatter, Disgusting, Badge, Trap, Insidious, Base, Ghost",4,2,"Curtain, Selection, Yawn, Obscene, Wet, Knit, Amount",4,4,6,7,7,1,0.777777777777778,0.666666666666667,0.75,0.714285714285714,0.4,0.7,0.4,0.6,0.5
04/18/2022 15:15:39,22,Male,Native speaker,Kinesthetic,3,5,0,0,"Acceptable, Cooperative, Changeable, Powerful, Library",1,6,"Keen, Remarkable, Meek, Bells, Expect, Abusive, Cacuts",2,9,"Flag, Disturbed, Bikes, Edge, Measly, Snore, Occur, Curious",3,11,"Scatter, Learn, Stir, Insidious, Base",4,18,"Curtain, Selection, Yawn, Guess, Obscene, Correct, Punch",3,5,7,7,8,0.8,0.666666666666667,0.625,0.8,0.857142857142857,0.4,0.4,0.5,0.4,0.6
04/18/2022 20:11:06,18,Male,Native speaker,Visual,4,2,0,4,"Powerful, Library, Changeable, Acceptable",1,19,"Phone, Remarkable, Squeal, Stage, Meek, Bells, Reward, Abusive, Cacuts, Street",4,20,"Flag, Disturbed, Bikes, Snore, Activity, Afterthought, Holiday",2,18,"Clear, Scatter, Noise, Ludicrous, Amusing",3,17,"Curtain, Yawn, Brake, Obscene, Opposite, Furtive, Embarrass",2,4,6,6,9,0.75,0.888888888888889,1,0.8,0.714285714285714,0.3,0.8,0.7,0.4,0.5
04/18/2022 20:25:29,24,Male,Native speaker,Visual,2,3,0,0,"Library",1,2,"Stage, Reward, Abusive, Cacuts",2,6,"Flag, Guitar, Snore",3,2,"Clear, Stir, Insidious",4,2,"Curtain, Yawn, Obscene, Punch",6,5,4,9,4,1,1,1,1,1,0.1,0.3,0.3,0.3,0.4
04/18/2022 20:52:40,45,Female,Full proficiency,Visual,3,1,0,1,"Cooperative, Library, Acceptable",3,9,"Phone, Remarkable, Stage, Meek, Street",4,12,"Disturbed, Fog, Occur, Activity, Afterthought, Curious",1,10,"Scatter, Disgusting, Badge, Noise, Insidious, Amusing",2,9,"Curtain, Yawn, Obscene, Furtive, Punch, Colossal",3,2,4,3,6,1,1,0.666666666666667,1,0.833333333333333,0.3,0.5,0.4,0.6,0.5
04/18/2022 20:55:55,21,Male,Native speaker,Kinesthetic,2,3,0,1,"Cooperative, Library, Acceptable, Powerful",3,7,"Phone, Keen, Wrathful, Remarkable, Squeal, Meek, Bells, Reward, Abusive",4,3,"Flag, Disturbed, Bikes, Chalk, Snore, Activity, Warn, Curious",1,9,"Clear, Scatter, Whole, Disgusting, Badge, Stir, Noise, Insidious, Amusing",2,6,"Curtain, Yawn, Obscene, Harbor, Opposite, Furtive, Punch, Knit, Colossal",5,5,6,5,6,1,0.777777777777778,0.75,1,0.666666666666667,0.4,0.7,0.6,0.9,0.6
04/18/2022 21:22:39,47,Male,Native speaker,Visual,4,2,0,1,"Cooperative, Grandiose, Acceptable, Powerful",1,2,"Phone, Wrathful, Remarkable, Meek, Bells, Abusive, Cacuts, Street",4,4,"Disturbed, Chalk, Snore, Occur",2,7,"Scatter, Whole, Disgusting, Stir, Noise, Insidious",3,6,"Curtain, Yawn, Obscene, Opposite, Punch",3,4,5,4,4,1,1,0.75,1,1,0.4,0.7,0.3,0.6,0.5
04/18/2022 21:22:59,22,Male,Native speaker,Visual,2,5,0,1,"Powerful, Acceptable, Library",1,3,"Remarkable, Meek, Reward, Abusive, Cacuts",2,6,"Disturbed, Bikes, Guitar, Edge, Snore, Activity, Holiday",3,0,"Scatter, Noise, Trap, Insidious",4,3,"Curtain, Mother, Wet",2,4,5,7,6,1,1,0.857142857142857,0.75,0.333333333333333,0.3,0.4,0.6,0.3,0.1
04/18/2022 21:54:20,21,Female,Native speaker,Auditory,1,2,0,2,"Library, Cooperative, Powerful, Acceptable",2,4,"Remarkable, Stage, Bells, Reward, Abusive, Cacuts",3,5,"Flag, Disturbed, Guitar, Occur, Afterthought, Holiday",1,4,"Scatter, Badge, Noise",4,5,"Selection, Obscene, Opposite, Punch, Amount",7,5,6,7,8,1,1,1,1,1,0.4,0.5,0.6,0.3,0.5
04/18/2022 23:43:01,36,Female,Native speaker,Visual,3,2,0,1,"Cooperative, Acceptable, Library, Powerful",1,6,"Wrathful, Remarkable, Stage, Meek, Bells, Reward, Abusive",3,8,"Disturbed, Bikes, Guitar, Activity, Warn",2,9,"Stir, Noise, Amusing",4,10,"Curtain, Selection, Yawn, Obscene, Opposite, Correct, Furtive, Knit",3,4,4,4,6,1,1,1,1,0.875,0.4,0.7,0.5,0.3,0.7
